iter	RMSE
0	1.284394893
1	1.217754086
2	1.156415699
3	1.099707038
4	1.050219966
5	1.005437939
6	0.9642488195
7	0.927220616
8	0.8941746492
9	0.8646650227
10	0.8378028591
11	0.8139660204
12	0.7929873134
13	0.7743726647
14	0.7574637186
15	0.7422485671
16	0.7291572456
17	0.7173416764
18	0.7066999587
19	0.6969022349
20	0.6886400076
21	0.6811321559
22	0.6743074062
23	0.6679903958
24	0.6626370498
25	0.6573634395
26	0.6529599307
27	0.6489955197
28	0.6452658358
29	0.6420318254
30	0.6390927164
31	0.6363003209
32	0.6336159249
33	0.6313747775
34	0.6292772823
35	0.6270893025
36	0.6251597307
37	0.6232709728
38	0.6218119951
39	0.620360217
40	0.6187071986
41	0.6174660519
42	0.616394961
43	0.6152009774
44	0.6138943332
45	0.6126876193
46	0.6116437394
47	0.6107765275
48	0.6100033964
49	0.6093560991
50	0.608230474
51	0.6075423692
52	0.6066800137
53	0.605791339
54	0.6047326102
55	0.6040644488
56	0.6032422819
57	0.6027625796
58	0.6019208255
59	0.6012737507
60	0.6006373798
61	0.5997252872
62	0.5990419893
63	0.5983664176
64	0.5978109462
65	0.5973424238
66	0.5967166672
67	0.5962628933
68	0.5957632811
69	0.5951188941
70	0.5943733368
71	0.5941048325
72	0.5937077797
73	0.5930929502
74	0.5925238093
75	0.5920704314
76	0.5916841501
77	0.5913302792
78	0.590691735
79	0.5901884773
80	0.5896123822
81	0.5890055085
82	0.5886106572
83	0.5883321214
84	0.5877621628
85	0.5874450868
86	0.5871618497
87	0.5868140626
88	0.5864780198
89	0.5861606412
90	0.585693412
91	0.5854228696
92	0.5850817272
93	0.5845497984
94	0.5840841329
95	0.5837507306
96	0.5834074681
97	0.5831676257
98	0.5828037144
99	0.5825376286
100	0.5818774107
101	0.5813820368
102	0.5810882519
103	0.5807580163
104	0.5804263259
105	0.5801969943
106	0.5799138032
107	0.579584187
108	0.5792473219
109	0.5789127416
110	0.5786849545
111	0.5783422017
112	0.578007495
113	0.5775649826
114	0.5772720017
115	0.5770116087
116	0.5767538473
117	0.5764299187
118	0.5761618066
119	0.5759878698
120	0.5756273836
121	0.5754649653
122	0.5752370313
123	0.5749369489
124	0.57463613
125	0.5744264891
126	0.5740150642
127	0.5738610792
128	0.5735851162
129	0.5732564708
130	0.5730564504
131	0.5726997765
132	0.572458057
133	0.572145633
134	0.5718836693
135	0.5716076963
136	0.5713313687
137	0.5710962926
138	0.5708432872
139	0.5706488034
140	0.5704671234
141	0.5701426055
142	0.5698473409
143	0.5697279661
144	0.5693875903
145	0.5691756731
146	0.5689184611
147	0.5686752151
148	0.5683426996
149	0.5680504638
150	0.5677725872
151	0.5675846424
152	0.5673994905
153	0.5670540092
154	0.5668715216
155	0.5667421742
156	0.5664698015
157	0.5662338231
158	0.5660311789
159	0.5658874271
160	0.565667638
161	0.565504269
162	0.5653467872
163	0.5651458784
164	0.5649689772
165	0.5647379666
166	0.5645191954
167	0.5644242413
168	0.5642184018
169	0.5640239559
170	0.5638751893
171	0.5637182511
172	0.5635320736
173	0.5633611104
174	0.56320103
175	0.563001437
176	0.562843357
177	0.5626495591
178	0.5624997549
179	0.5622035622
180	0.5620255918
181	0.5618965602
182	0.5616495777
183	0.561315418
184	0.5610892511
185	0.5609599632
186	0.5607860031
187	0.5606216625
188	0.5604641002
189	0.5602776822
190	0.560159919
191	0.5600309704
192	0.5598795626
193	0.5597658208
194	0.5595447565
195	0.5594001388
196	0.5591821765
197	0.5589818884
198	0.5587893832
199	0.5586136571
200	0.5584519073
201	0.5583475051
202	0.558194488
203	0.5580021435
204	0.5578831586
205	0.5577358852
206	0.557603615
207	0.5573029029
208	0.5571323585
209	0.5570277297
210	0.5568785589
211	0.5567001658
212	0.5565191347
213	0.5564258302
214	0.5562484073
215	0.556089172
216	0.5558965951
217	0.5556673749
218	0.5555067942
219	0.5553578562
220	0.555271785
221	0.5551144842
222	0.5549867442
223	0.554855206
224	0.5547370166
225	0.5546133122
226	0.5544687966
227	0.5543835407
228	0.5542722779
229	0.5541907235
230	0.5540418465
231	0.5539387496
232	0.5538416081
233	0.5536817637
234	0.5535741166
235	0.5534197174
236	0.5532944933
237	0.5532212891
238	0.5531081515
239	0.5530169516
240	0.5529282302
241	0.5528417807
242	0.552725385
243	0.5526748283
244	0.5525599986
245	0.5524430859
246	0.5523422076
247	0.5522448269
248	0.55216135
249	0.5519832849
250	0.551876972
251	0.5518076609
252	0.5516983152
253	0.5516026539
254	0.5515222255
255	0.551380984
256	0.5512950421
257	0.5512117341
258	0.5510994557
259	0.5509854862
260	0.5509203799
261	0.5508430016
262	0.5507014607
263	0.5505339219
264	0.5504651096
265	0.5503832833
266	0.5503050778
267	0.5501968535
268	0.5501039178
269	0.550044556
270	0.5499107283
271	0.5498158426
272	0.5497116814
273	0.5496170958
274	0.5495338261
275	0.5493916133
276	0.5493273012
277	0.549247209
278	0.5491212845
279	0.5490211979
280	0.5489597726
281	0.5489029036
282	0.5488224355
283	0.5486275382
284	0.548569797
285	0.5484725635
286	0.5484084369
287	0.5483607719
288	0.5482664142
289	0.5480900395
290	0.5480216541
291	0.5479166275
292	0.547865732
293	0.5477974864
294	0.5477205269
295	0.5475849143
296	0.5475246499
297	0.5474474421
298	0.5473295424
299	0.547184048
300	0.5471359403
301	0.5470679397
302	0.5470036064
303	0.5469017038
304	0.5468148478
305	0.5467207697
306	0.546659149
307	0.5465230417
308	0.5464235306
309	0.5463620445
310	0.5462582343
311	0.5461296851
312	0.5460408546
313	0.5459719811
314	0.5458406281
315	0.5457457715
316	0.5456697228
